No.,Author,Comment
0,hanguyen_506,"Đã là những điều kiện trong hợp đồng thì hai bên phải tuân thủ , câu lạc bộ đã vi phạm trước , sao lại trách cầu thủ ? Phí lót tay là chuyện đương nhiên , nếu muốn giảm thì phải thương lượng chứ không thể ép buộc , không thể nói là vì nghĩ đá vài tháng là trừ phí cả năm "
1,"Tể Tướng Si lùn: Dưới King Cr7, Trên Vạn Người","Cứ hợp đồng mà làm, gương Thanh Hóa với Hải Phòng lôi nhau lên FIFA kiện cuối cùng đều là CLB thua kiện, mất tiền thêm lại mang tiếng. Đề nghị các bên hành xử chuyên nghiệp. "
2,MrGreen714,Cứ hợp đồng mà nện thôi.
3,Thúy Thanh,"năm 2021 dịch dã có đá đâu phí lot tay, đá thì tệ không có thành tích gì còn làm màu ,CLBTPHCM nên loại hết mua cầu thủ trẻ"
4,Tự Do,"
Mạn phép nêu một quan điểm
Phí lót tay để tăng mức độ giàu có thì hành động này của các cầu thủ rất thiếu đạo đức thể thao"
5,Nguyễn Hồng Đức,Tác phong thiếu chuyên nghiệp vậy thì đá đấm gì nữa. 
6,tvnamsg,Ai đúng ai sai thì giấy trắng mực đen trên hợp đồng mà làm.
7,nguyenhongphuc72918,"Đầu tư thì nhiều , thành tích thì kém . Dịch bệnh cần nên thông cảm cho CLB , họ phải gồng gánh rất nhiều thứ để duy trì hoạt động . Chỉ vì giảm bớt tiền lót tay , cho không phải tiền lương mà đã bỏ tạp này nọ . Tphcm nên làm lại từ đầu , cô gắng đầu tư vào bóng đá trẻ, mang bản sắc Tphcm , sau này dù không thành tích tôi vẫn ủng hộ."
8,mr.Trí,Bóng đá VN còn lâu mới ngang Thai-League
9,Tuấn Trần,"ói thật VN đừng mơ bóng đá vươn tầm nếu vẫn còn nghiệp dư kiểu này. Đừng đổ lỗi cho giải đấu bị hoãn, vì ko lý do này cũng sẽ là lý do kia"
10,SANA,"Có gì đâu, ko có tiền thì tuyên bố phá sản. Cầu thủ ko được gì lại mất thêm cần câu cơm, nói thật qua dịch bệnh cầu thủ còn được kí hợp đồng với clb là may rồi, doanh nghiệp người ta cũng đã cố gắng hết sức rồi."
11,tuyencsn,"VFF hãy vào cuộc để bảo vệ các cầu thủ, hy vọng các cầu thủ kiện lên FIFA để đảm bảo quyền lợi của chính mình. Tôi ủng hộ các cầu thủ!"
12,Lê Việt Cường,"Muốn lên chuyên nghiệp thì bỏ cái phí ""lót tay"" này đi, hãy trả lại giá trị đích thực cho các cầu thủ."
13,Phan Vickey,"Lương người ta vẫn trả đầy đủ mà,phí lót tay thì thông cảm mùa vừa rồi có đá gì đâu,giải huỷ nữa chừng.CLB cũng gánh lỗ chứ có phải mọi việc suông sẻ mà ng ta ko trả đâu."
14,hoaasv,Clb gì không có thành tích gì hết. Ko lo đào tạo cầu thủ trẻ mà thấy đi mua với mượn ko.
15,balv.nc,"Thể thao phải tự sống bằng thể thao như ở các nước người ta làm ấy ! phải chuyên nghiệp, tự tồn tại được, còn thể thao mà cứ èo uột như ở ta, bao giờ mới khá lên được...? phải sống bằng đồng lương và thu nhập chính đáng...hợp đồng đàng hoàng, rõ ràng, không trụ được thì giải tán làm việc khác có ích cho xã hội."
16,tuananh86bkk,"2 clb thuộc TPHCM là ứng viên sáng giá cho suất xuống hạng của mùa giải này, mọi người cứ chờ xem đúng ko nhé."
17,chinhxd68,DỊCH DÃ TẤT CẢ ĐỀU KHÓ KHĂN.CÁC CẦU THỦ CŨNG PHẢI XEM LẠI TÍ
18,nguyenquangminh.010171,Cảm thấy hổ thẹn
19,Phạm chí trung,"

Tập để mình khá lên vào người mình chứ vào người ai mà bỏ tập."
20,Duy Vo,"Chuyên nghiệp rồi, cứ để luật sư làm việc !!!"
21,tranxuanduong2010,Chơi bóng vì đam mê chứ mấy khoản đó có là gì!
22,Bà Tám,"Ở nước ngoài tôi không biết nhưng ở Việt Nam có hiện tượng dữ liệu của khách hàng sẽ được chia sẻ cho cò đất, cò nhà, bảo hiểm, vay tín chấp, vân vân và mây mây. Thế là khách hàng phải nhận rất nhiều cuộc gọi làm phiền."
