No.,Author,Comment
0,Trần Quyền,Bởi vậy người ta vẫn chọn đất để đầu tư.
1,Thanh Ngân Bùi Thị,Ngày mai còn giảm nữa
2,Maygi,"Chỉ số giảm nhưng nhiều cổ vẫn xanh, giai đoạn này đánh rất rát, dòng tiền dịch chuyển qua lại giữa các dòng rất nhanh, không trụ lâu như đoạn trước. NĐT phải linh động hơn."
3,tvquangtruong,"Cổ phiếu giảm còn thanh khoản được, bđs giảm giá rồi có bán được đâu. Tìm kênh đầu tư lúc dịch covid này cũng rất khó."
4,Đức Phong Phan,Chỉ là tái cơ cấu danh mục đầu tư thôi mà.
5,Nguyễn Học,ên có quỹ bình ổn để tránh thiệt hại cho nhà đầu tư
6,truong Tin,Giờ là thời đại của đánh nhanh rút gọn ( lướt sóng) - ít ai giữ lâu dài để làm cổ đông cả
7,startfromzero1992,"Thị trường giai đoạn này đang ở trạng thái rất khó đánh. Mình canh bắt đáy hôm nay, đúng đáy trong phiên liên tục nhưng tới phiên ATC thì tụt 1 phát không đỡ được haha."
8,Đức Lê Minh,Đỏ không mua xanh lấy gì bán
9,Khanh Dao,chơi làm sao dc cá mập.
10,truong ngoc,Cái mốc 1500 nghe chừng khó vượt qua. Mới qua được ít ngày là bị đạp xuống không thương tiếc
11,duythang.tnt,VN30 không thể duy trì tăng ổn định dài cho VNI được vì số lượng F0 quá lớn và đa phần đầu cơ vào các cp vừa và nhỏ. Suốt hơn 1 năm nay VN30 chỉ có vai trò trụ đỡ trong lúc xả hàng đầu cơ.
12,Le Minh,Còn rớt về 12xx
13,tongluong.eup,Vẫn chưa thấy lực kéo từ các mã vn30. Nhà đầu tư đang thận trọng.
